,Name,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood,Type_1,Type_2,Type_3,Type_4
118,Burger King - Rawdah,3.7,1370.0,46.76226500000001,24.735643,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الربوة,restaurant, food, point_of_interest, establishment
119,KFC,3.8,2246.0,46.6647609,24.7045778,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الربوة,restaurant, point_of_interest, food, establishment
120,فندق ميرا,3.7,1336.0,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات,lodging, restaurant, point_of_interest, food
121,مركز ماي كار لصيانة السيارات الاوروبية,3.5,2755.0,46.5764369,24.85175139999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات,restaurant, point_of_interest, food, establishment
122,Luthan Hotel and Spa,4.0,423.0,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات,spa, lodging, restaurant, food
123,Dining Hall,3.0,27.0,46.6196551,24.7209893,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات,restaurant, point_of_interest, food, establishment
124,Sushi Yoshi,4.0,1721.0,46.7061255,24.7048211,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات,restaurant, food, point_of_interest, establishment
125,Najd Village,3.9,11310.0,46.70469529999999,24.7426043,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات,restaurant, point_of_interest, food, establishment
126,Wooden Bakery,4.3,10550.0,46.7226815,24.6941192,"['bakery', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",حي الوزارات,bakery, restaurant, point_of_interest, store
127,Najd Village,3.8,8468.0,46.66923329999999,24.6976883,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الوزارات,restaurant, point_of_interest, food, establishment
128,KFC,3.7,2198.0,46.737091,24.59506409999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات,restaurant, food, point_of_interest, establishment
129,McDonald's,3.9,2735.0,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات,restaurant, food, point_of_interest, establishment
130,Domino's Pizza,3.8,589.0,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الوزارات,meal_delivery, meal_takeaway, restaurant, food
