,Name,Score,Category,Price_Range
2010,3. Copper,9.0,Steakhouse,$$$$
2011,4. PORTERHOUSE,9.0,Steakhouse,$$$$
2012,1. Myazū,9.3,Japanese,$$$$
2013,2. Marble Cuisine,9.2,Steakhouse,$$$$
2014,3. Copper,9.0,Steakhouse,$$$$
2015,4. PORTERHOUSE,9.0,Steakhouse,$$$$
2016,1. Myazū,9.3,Japanese,$$$$
2017,2. Marble Cuisine,9.2,Steakhouse,$$$$
2018,3. Copper,9.0,Steakhouse,$$$$
2019,4. PORTERHOUSE,9.0,Steakhouse,$$$$
2020,1. Knoll Coffee Roasters,9.6,Café,$
2021,2. Red Box,9.5,Restaurant,$
2022,3. Dunkin’ Donuts Drive Thru,9.4,Donuts,$
2023,4. The California Burger,9.4,Burgers,$
2024,5. ساين,9.4,Burgers,$
2025,6. Oregano Pizzeria,9.4,Pizza,$
2026,7. AlNaqaa,9.4,Breakfast,$
2027,8. محمصة اليوم الثامن,9.4,Café,$
2028,9. شاي وسمسم,9.4,Café,$$$$
2029,10. Myazū,9.3,Japanese,$
2030,11. WHJ CAFE,9.3,Café,$
2031,12. Al Afrah Restaurant,9.3,Breakfast,$
2032,13. DIA BAKERY,9.3,Bakery,$
2033,14. بوفية فهد كبدة غنم وحاشي,9.3,Breakfast,$
2034,15. فرن صحيفة وفطائر شامية,9.3,Bakery,$
2035,16. Stones,9.3,Café,$
2036,17. Sakaf Cafe,9.3,Café,$
2037,18. Boga Superfoods,9.2,Sandwich Spot,$
2038,19. بلوف,9.2,Restaurant,$
2039,20. Al Hatab Bakery,9.2,Bakery,$$
