,Name,Score,Category,Price_Range,Price_Range_encoded,Category_encoded
720,1. WHJ CAFE,9.3,Café,$,0,8
721,2. بوفية فهد كبدة غنم وحاشي,9.3,Breakfast,$,0,5
722,3. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
723,4. AlNaqaa,9.1,Falafel,$,0,11
724,5. Dutch Brunch,9.1,Breakfast,$,0,5
725,6. Mama Noura,9.1,Shawarma Restaurant,$,0,29
726,7. Dunkin' Donuts,9.1,Donuts,$,0,9
727,8. Jathel,9.1,Café,$,0,8
728,9. Dunkin Dounts,9.0,Donuts,$,0,9
729,10. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,4
730,11. دوز كافيه,9.0,Café,$,0,8
731,12. Dunkin' Donuts,9.0,Donuts,$,0,9
732,13. Dunkin' Donuts دانكن دونات,9.0,Donuts,$$,1,9
733,14. Shawarma House,9.0,Middle Eastern,$,0,22
734,15. فلافل ثمار,9.0,Falafel,$,0,11
735,1. WHJ CAFE,9.3,Café,$,0,8
736,2. بوفية فهد كبدة غنم وحاشي,9.3,Breakfast,$,0,5
737,3. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
738,4. AlNaqaa,9.1,Falafel,$,0,11
739,5. Dutch Brunch,9.1,Breakfast,$,0,5
740,6. Mama Noura,9.1,Shawarma Restaurant,$,0,29
741,7. Dunkin' Donuts,9.1,Donuts,$,0,9
742,8. Jathel,9.1,Café,$,0,8
743,9. Dunkin Dounts,9.0,Donuts,$,0,9
744,10. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,4
745,11. دوز كافيه,9.0,Café,$,0,8
746,12. Dunkin' Donuts,9.0,Donuts,$,0,9
747,13. Dunkin' Donuts دانكن دونات,9.0,Donuts,$$,1,9
748,14. Shawarma House,9.0,Middle Eastern,$,0,22
749,15. فلافل ثمار,9.0,Falafel,$,0,11
750,1. WHJ CAFE,9.3,Café,$,0,8
751,2. بوفية فهد كبدة غنم وحاشي,9.3,Breakfast,$,0,5
752,3. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
753,4. AlNaqaa,9.1,Falafel,$,0,11
754,5. Dutch Brunch,9.1,Breakfast,$,0,5
755,6. Mama Noura,9.1,Shawarma Restaurant,$,0,29
756,7. Dunkin' Donuts,9.1,Donuts,$,0,9
757,8. Jathel,9.1,Café,$,0,8
758,9. Dunkin Dounts,9.0,Donuts,$,0,9
759,10. أفران الحطب || Alhatab Bakery,9.0,Bakery,$,0,4
760,11. دوز كافيه,9.0,Café,$,0,8
761,12. Dunkin' Donuts,9.0,Donuts,$,0,9
762,13. Dunkin' Donuts دانكن دونات,9.0,Donuts,$$,1,9
763,14. Shawarma House,9.0,Middle Eastern,$,0,22
764,15. فلافل ثمار,9.0,Falafel,$,0,11
765,1. WHJ CAFE,9.3,Café,$,0,8
766,2. بوفية فهد كبدة غنم وحاشي,9.3,Breakfast,$,0,5
